<<<<<<< HEAD
-1.5,	-1.5,	1
-0.75,	-1.5,	0
0,	-1.5,	0
0.75,	-1.5,	0
1.5,	-1.5,	0
-1.5,	-0.75,	0
-0.75,	-0.75,	1
0,	-0.75,	0
0.75,	-0.75,	0
1.5,	-0.75,	0
-1.5,	0,	0
-0.75,	0,	0
0,	0,	1
0.75,	0,	0
1.5,	0,	0
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	1
1.5,	0.75,	0
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0
1.5,	1.5,	1
=======
-1.5,	-1.5,	1
-0.75,	-1.5,	0
0,	-1.5,	0
0.75,	-1.5,	0
1.5,	-1.5,	0
-1.5,	-0.75,	0
-0.75,	-0.75,	1
0,	-0.75,	0
0.75,	-0.75,	0
1.5,	-0.75,	0
-1.5,	0,	0
-0.75,	0,	0
0,	0,	1
0.75,	0,	0
1.5,	0,	0
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	1
1.5,	0.75,	0
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0
1.5,	1.5,	1
>>>>>>> 75843cda3f5a4e019a638852aa867f139c5a9eba
