<<<<<<< HEAD
"01AB",		"427"
"ABCD",		"43981"
"F6",		"246"
"12345",	"74565"
"123456789",	"4886718345"
"123.45",	"#NUM!"
"0",		"0"
"G3579A",	"#NUM!"
TRUE,		"#VALUE!"
"-107",		"#NUM!"
"A5",		"165"
"FFFFFFFF5B",	"-165"
"3DA408B9",	"1034160313"	//	2's Complement
=======
"01AB",		"427"
"ABCD",		"43981"
"F6",		"246"
"12345",	"74565"
"123456789",	"4886718345"
"123.45",	"#NUM!"
"0",		"0"
"G3579A",	"#NUM!"
TRUE,		"#VALUE!"
"-107",		"#NUM!"
"A5",		"165"
"FFFFFFFF5B",	"-165"
"3DA408B9",	"1034160313"	//	2's Complement
>>>>>>> 75843cda3f5a4e019a638852aa867f139c5a9eba
