<<<<<<< HEAD
"10110010",	"178"
"1100100",	"100"
"111001010101",	"#NUM!"		//	Too large
"101",		"5"
"10",		"2"
"0",		"0"
"21",		"#NUM!"		//	Invalid binary number
TRUE,		"#VALUE!"	//	Non string
"1110010101",	"-107"		//	2's Complement
"1111111111",	"-1"		//	2's Complement
=======
"10110010",	"178"
"1100100",	"100"
"111001010101",	"#NUM!"		//	Too large
"101",		"5"
"10",		"2"
"0",		"0"
"21",		"#NUM!"		//	Invalid binary number
TRUE,		"#VALUE!"	//	Non string
"1110010101",	"-107"		//	2's Complement
"1111111111",	"-1"		//	2's Complement
>>>>>>> 75843cda3f5a4e019a638852aa867f139c5a9eba
