<<<<<<< HEAD
"01AB",			"110101011"
"ABCD",			"#NUM!"
"F6",			"11110110"
"F",		8,	"00001111"
"B7",			"10110111"
"12345",		"#NUM!"
"123456789",		"#NUM!"
"123.45",		"#NUM!"
"0",			"0"
"G3579A",		"#NUM!"
TRUE,			"#VALUE!"
"-107",			"#NUM!"
"FFFFFFFFFF",		"1111111111"	//	2's Complement
=======
"01AB",			"110101011"
"ABCD",			"#NUM!"
"F6",			"11110110"
"F",		8,	"00001111"
"B7",			"10110111"
"12345",		"#NUM!"
"123456789",		"#NUM!"
"123.45",		"#NUM!"
"0",			"0"
"G3579A",		"#NUM!"
TRUE,			"#VALUE!"
"-107",			"#NUM!"
"FFFFFFFFFF",		"1111111111"	//	2's Complement
>>>>>>> 75843cda3f5a4e019a638852aa867f139c5a9eba
