<<<<<<< HEAD
		"#NAME?"
NULL,		"#NAME?"
-1,		TRUE
0,		FALSE
9,		TRUE
1.25,		TRUE
1.5,		TRUE
2.25,		FALSE
2.5,		FALSE
"",		"#VALUE!"
"-1",		TRUE
"2",		FALSE
"-1.5",		TRUE
"2.5",		FALSE
"ABC",		"#VALUE!"
"#VALUE!",	"#VALUE!"
"#N/A",		"#VALUE!"
"TRUE",		"#VALUE!"
TRUE,		"#VALUE!"
FALSE,		"#VALUE!"
=======
		"#NAME?"
NULL,		"#NAME?"
-1,		TRUE
0,		FALSE
9,		TRUE
1.25,		TRUE
1.5,		TRUE
2.25,		FALSE
2.5,		FALSE
"",		"#VALUE!"
"-1",		TRUE
"2",		FALSE
"-1.5",		TRUE
"2.5",		FALSE
"ABC",		"#VALUE!"
"#VALUE!",	"#VALUE!"
"#N/A",		"#VALUE!"
"TRUE",		"#VALUE!"
TRUE,		"#VALUE!"
FALSE,		"#VALUE!"
>>>>>>> 75843cda3f5a4e019a638852aa867f139c5a9eba
